title,journal,authors,year,url,doi,Print-ISSN,E-ISSN,Category,Subcategory,Subcategory,Subcategory
3D Printing: The Effect of Adapted Mallets on the Participation of Children with Severe and Multiple Disabilities,Pacific Journal of Health,Sa,0,http://dx.doi.org/10.56031/2576-215x.1005,10.56031/2576-215x.1005,,,,,,
A STEAM Experience Activity Task: Making and Experiencing Goods for the Disabled with Physical Computing Tools and 3D Printing Technology,Institute of Brain-based Education Korea National University of Education,,2022,http://dx.doi.org/10.31216/bdl.20220042,10.31216/bdl.20220042,,,,,,
Ankle-Foot Orthosis Made by 3D Printing Technique and Automated Design Software,Applied Bionics and Biomechanics,"Cha, Lee, Ryu, Joo, Seo, Kim, Kim",2017,http://dx.doi.org/10.1155/2017/9610468,10.1155/2017/9610468,11762322,17542103,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Engineering,
Conversational AI Assistant,International Journal for Research in Applied Science and Engineering Technology,Ansari,0,http://dx.doi.org/10.22214/ijraset.2022.47554,10.22214/ijraset.2022.47554,,,,,,
EU disability law and policy and access to art works through 3D printing,International Perspectives on Disability Exceptions in Copyright Law and the Visual Arts,Waddington,2020,http://dx.doi.org/10.4324/9780429342677-12,10.4324/9780429342677-12,,,,,,
Costa Rican copyright legislation and disability exceptions,International Perspectives on Disability Exceptions in Copyright Law and the Visual Arts,Guadamuz,2020,http://dx.doi.org/10.4324/9780429342677-20,10.4324/9780429342677-20,,,,,,
Design and Construction of a Low-Cost-High-Accessibility 3D Printing Machine for Producing Plastic Components,Journal of Composites Science,"Ajao, Ibitoye, Adesiji, Akinlabi",0,http://dx.doi.org/10.3390/jcs6090265,10.3390/jcs6090265,,2504477X,Physical Sciences,Engineering,,
Design and Implementation of a Low-Cost and Functional Prosthetic Hand Using 3D Printing Technology for a Member of the Association of Physical Disabilities Indonesia,Frontiers in Community Service and Empowerment,"Triwiyanto, Luthfiyah, Forra Wakidi, Utomo",0,http://dx.doi.org/10.35882/ficse.v2i3.51,10.35882/ficse.v2i3.51,,,,,,
Virtual 3D Sculpting,The Journal of Visualization and Computer Animation,"Wong, Lau, Ma",2000,http://dx.doi.org/10.1002/1099-1778(200007)11:3<155::aid-vis225>3.0.co;2-7,10.1002/1099-1778(200007)11:3<155::aid-vis225>3.0.co;2-7,,,,,,
3D Printing of Food for People with Swallowing Difficulties,KnE Engineering,"Kouzani, Adams, J. Whyte, Oliver, Hemsley, Palmer, Balandin",0,http://dx.doi.org/10.18502/keg.v2i2.591,10.18502/keg.v2i2.591,,,,,,
3D-Printing of Personalized Assistive Technology,Lecture Notes in Computer Science,"Berger, Nussbaum, Emminger, Major",2018,http://dx.doi.org/10.1007/978-3-319-94274-2_19,10.1007/978-3-319-94274-2_19,,,,,,
Accessibility of Braille Texts for the Visually Impaired Produced with Different 3D Printing Technologies,IFAC-PapersOnLine,"Tzvetkova-Arsova, Tomova, Stoimenov, Kotseva, Chivarov, Nikolova, Lozanova",2024,http://dx.doi.org/10.1016/j.ifacol.2024.07.123,10.1016/j.ifacol.2024.07.123,,,,,,
Machine learning for projection multi-photon 3D printing,Laser 3D Manufacturing XI,"Johnson, Pan, Lin, Xu",2024,http://dx.doi.org/10.1117/12.3001830,10.1117/12.3001830,,,,,,
Making Tasks more Manageable,PsycEXTRA Dataset,Steele,0,http://dx.doi.org/10.1037/e555952011-001,10.1037/e555952011-001,,,,,,
"3D PRINTING IN PROSTHETICS, ORTHOTICS AND ASSISTIVE TECHNOLOGY: MYTH AND REALITY",CANADIAN PROSTHETICS &amp; ORTHOTICS JOURNAL,Ursula Raschke,0,http://dx.doi.org/10.33137/cpoj.v6i2.42222,10.33137/cpoj.v6i2.42222,,,,,,
"Boosting accessibility of diagnostics tools for 3D printing, consumer electronics, digital imaging and open source software conversion (Conference Presentation)","Optical Methods for Inspection, Characterization, and Imaging of Biomaterials IV","Selleri, Tonelli, Pasquali, Candiani, Cucinotta, Biasion, Barozzi",2019,http://dx.doi.org/10.1117/12.2527704,10.1117/12.2527704,,,,,,
3D-Printing of Personalized Assistive Technology,Lecture Notes in Computer Science,"Berger, Nussbaum, Emminger, Major",2018,http://dx.doi.org/10.1007/978-3-319-94274-2_19,10.1007/978-3-319-94274-2_19,,,,,,
3D Printing Business Promoting Jobs for People with Disabilities,The Proceedings of Manufacturing Systems Division Conference,"Iizuka, TATENO, KIMURA, HOTOZUKA, FUJITSUKA, MATSUMARU, SAKAMOTO",2018,http://dx.doi.org/10.1299/jsmemsd.2018.503,10.1299/jsmemsd.2018.503,,,,,,
3D-Printing of Personalized Assistive Technology,Lecture Notes in Computer Science,"Berger, Nussbaum, Emminger, Major",2018,http://dx.doi.org/10.1007/978-3-319-94274-2_19,10.1007/978-3-319-94274-2_19,,,,,,
3D Printing for Prosthetics and Animatronics,Special Makeup Effects for Stage and Screen,Debreceni,2018,http://dx.doi.org/10.4324/9781315169835-11,10.4324/9781315169835-11,,,,,,
Assistive Technology and Students With High-incidence Disabilities,Remedial and Special Education,"Bouck, Maeda, Flanagan",2012,http://dx.doi.org/10.1177/0741932511401037,10.1177/0741932511401037,07419325,15384756,Social Sciences,,,
Assistive Technology and Students With High-incidence Disabilities,Remedial and Special Education,"Bouck, Maeda, Flanagan",2012,http://dx.doi.org/10.1177/0741932511401037,10.1177/0741932511401037,07419325,15384756,Social Sciences,,,
EU disability law and policy and access to art works through 3D printing,International Perspectives on Disability Exceptions in Copyright Law and the Visual Arts,Waddington,2020,http://dx.doi.org/10.4324/9780429342677-12,10.4324/9780429342677-12,,,,,,
Cardinality enrichment of flexible cross correlation (FCC) code for SAC-OCDMA system by alleviation interference scheme (AIS),Optik,"Rashidi, Aljunid, Ghani, Fadhil, Anuar, Arief",2014,http://dx.doi.org/10.1016/j.ijleo.2014.04.035,10.1016/j.ijleo.2014.04.035,00304026,16181336,Physical Sciences,Engineering,,
Assistive Technology for People with Disabilities,,Anson,2018,http://dx.doi.org/10.5040/9798400615559,10.5040/9798400615559,,,,,,
E-Health Interventions for Adult and Aging Population With Intellectual Disability: A Review,Frontiers in Psychology,"Vázquez, Jenaro, Flores, Bagnato, Pérez, Cruz",0,http://dx.doi.org/10.3389/fpsyg.2018.02323,10.3389/fpsyg.2018.02323,16641078,,Social Sciences,,,
Policy concerns raised by the growing U.S. population aging with disability,Disability and Health Journal,Iezzoni,2014,http://dx.doi.org/10.1016/j.dhjo.2013.06.004,10.1016/j.dhjo.2013.06.004,19366574,18767583,Health Sciences,,,
Universal Design Mobile Interface Guidelines (UDMIG) for an Aging Population,Human–Computer Interaction Series,"Ruzic, Sanfod",2017,http://dx.doi.org/10.1007/978-3-319-60672-9_2,10.1007/978-3-319-60672-9_2,,,,,,
Aging Population–Focused Accessibility Assessment of Multimodal Facilities in Florida,Transportation Research Record: Journal of the Transportation Research Board,"Ozel, Ozguven, Kocatepe, Horner",2016,http://dx.doi.org/10.3141/2584-07,10.3141/2584-07,,,,,,
Population aging and disability: Implications for vocational rehabilitation practice,Journal of Vocational Rehabilitation,"Cichy, Leslie, Rumrill, Koch",2017,http://dx.doi.org/10.3233/jvr-170894,10.3233/jvr-170894,10522263,18786316,Health Sciences,,,
Assistive Technology for People with Disabilities,,Anson,2018,http://dx.doi.org/10.5040/9798400615559,10.5040/9798400615559,,,,,,
What is the degree of social disability risk in China under the background of the aging population? Social disability risk measurement index system design and evaluation research based on China,Frontiers in Public Health,"Guo, Sun, Fan, Li",0,http://dx.doi.org/10.3389/fpubh.2023.1087276,10.3389/fpubh.2023.1087276,,22962565,Health Sciences,,,
An Aging Population and an Aging Housing stock – Housing Accessibility Problems in Typical Swedish Dwellings,Journal of Aging and Environment,"Slaug, Granbom, Iwarsson",2020,http://dx.doi.org/10.1080/26892618.2020.1743515,10.1080/26892618.2020.1743515,26892618,26892626,Social Sciences,,,
Transportation Accessibility Assessment of Critical Emergency Facilities: Aging Population-Focused Case Studies in Florida,Lecture Notes in Computer Science,"Kocatepe, Ozguven, Ozel, Horner, Moses",2016,http://dx.doi.org/10.1007/978-3-319-39949-2_39,10.1007/978-3-319-39949-2_39,,,,,,
The Power of Population Health Data on Aging and Intellectual and Developmental Disabilities: Reactions of Knowledge Users,Journal of Policy and Practice in Intellectual Disabilities,"Martin, Ouellette‐Kuntz, McKenzie",2017,http://dx.doi.org/10.1111/jppi.12196,10.1111/jppi.12196,17411122,17411130,Social Sciences,,,
Difference in utilization of assistive technology across two racial groups in the aging population,Gerontechnology,"Clay, Alston",2019,http://dx.doi.org/10.4017/gt.2018.17.4.002.00,10.4017/gt.2018.17.4.002.00,15691101,1569111X,Physical Sciences,Engineering,,
Transportation Accessibility Assessment of Critical Emergency Facilities: Aging Population-Focused Case Studies in Florida,Lecture Notes in Computer Science,"Kocatepe, Ozguven, Ozel, Horner, Moses",2016,http://dx.doi.org/10.1007/978-3-319-39949-2_39,10.1007/978-3-319-39949-2_39,,,,,,
Ensuring the Safety and Accessibility of Transportation for an Aging Population,Lecture Notes in Computer Science,"Boot, Barajas, Mitchum, Stothart, Charness",2016,http://dx.doi.org/10.1007/978-3-319-39949-2_37,10.1007/978-3-319-39949-2_37,,,,,,
Population Aging and Intellectual and Developmental Disabilities: Projections for <scp>C</scp>anada,Journal of Policy and Practice in Intellectual Disabilities,"Ouellette‐Kuntz, Martin, McKenzie",2016,http://dx.doi.org/10.1111/jppi.12172,10.1111/jppi.12172,17411122,17411130,Social Sciences,,,
Loneliness May Be Due to Increasing Aging Population,PsycEXTRA Dataset,,2019,http://dx.doi.org/10.1037/e511302019-001,10.1037/e511302019-001,,,,,,
Methods of Funding Health Care,Economics of Health Care Financing,"Donaldson, Gerard, Jan, Mitton, Wiseman",2005,http://dx.doi.org/10.1007/978-0-230-21573-3_4,10.1007/978-0-230-21573-3_4,,,,,,
How does accessibility to post-disaster relief compare between the aging and the general population? A spatial network optimization analysis of hurricane relief facility locations,International Journal of Disaster Risk Reduction,"Marcelin, Horner, Ozguven, Kocatepe",2016,http://dx.doi.org/10.1016/j.ijdrr.2015.12.006,10.1016/j.ijdrr.2015.12.006,22124209,,Social Sciences,,,
Aging people with intellectual disability in Israel,International Journal on Disability and Human Development,"Carmeli, Merrick",2010,http://dx.doi.org/10.1515/ijdhd.2010.037,10.1515/ijdhd.2010.037,21911231,21910367,Life Sciences,,,
Mitochondrial DNA Haplogroup M7 Confers Disability in a Chinese Aging Population,Frontiers in Genetics,"Sun, Yao, Wu, Deng, Ma, Jin, Wang, Wang",0,http://dx.doi.org/10.3389/fgene.2020.577795,10.3389/fgene.2020.577795,16648021,,Life Sciences,"Biochemistry, Genetics and Molecular Biology",,
Population Aging and the Ontario Disability Support Program (ODSP),Canadian Journal of Disability Studies,"Kerr, Smith-Carrier, Wang, Tam, Kwok",0,http://dx.doi.org/10.15353/cjds.v6i4.382,10.15353/cjds.v6i4.382,,,,,,
Aging Population and the Accessibility of Public Transportation Services: Transportation Policy Perspective for Turkey,,"Şahin, Özden, Faghri, Vaughan",0,http://dx.doi.org/10.2139/ssrn.4877905,10.2139/ssrn.4877905,,,,,,
Caregiver's experiences in caring for the disabled and aging population using feeding assistance robots,Gerontechnology,"Hirayama, Shin",2022,http://dx.doi.org/10.4017/gt.2022.21.s.526.pp3,10.4017/gt.2022.21.s.526.pp3,15691101,1569111X,Physical Sciences,Engineering,,
SUCCESSFUL AGING IN VERY OLD AGE: THE ROLE OF ACTIVITIES,Innovation in Aging,"Jopp, Skoog, Spini",2017,http://dx.doi.org/10.1093/geroni/igx004.3395,10.1093/geroni/igx004.3395,,23995300,Social Sciences,,,
AI and Assistive Technologies for Persons with Disabilities - Worldwide Trends in the Scientific Production Using Bibliometrix R Tool,Communications in Computer and Information Science,"Dange, Mistry, Mann",2023,http://dx.doi.org/10.1007/978-3-031-47997-7_3,10.1007/978-3-031-47997-7_3,18650929,18650937,Physical Sciences,Computer Science,Mathematics,
Could the Use of AI in Higher Education Hinder Students With Disabilities? A Scoping Review,IEEE Access,"Pierrès, Christen, Schmitt-Koopmann, Darvishy",2024,http://dx.doi.org/10.1109/access.2024.3365368,10.1109/access.2024.3365368,21693536,,Physical Sciences,Computer Science,Engineering,
AI Wizards: Pioneering Assistive Technologies for Higher Education Inclusion of Students with Learning Disabilities,Applied Intelligence and Informatics,"Neha, Kumar, Sankat",2024,http://dx.doi.org/10.1007/978-981-97-0914-4_4,10.1007/978-981-97-0914-4_4,,,,,,
AI assistive technology for extending sighted guiding,ACM SIGACCESS Accessibility and Computing,Vincenzi,2021,http://dx.doi.org/10.1145/3458055.3458062,10.1145/3458055.3458062,,,,,,
Enhancing Accessibility: Exploring the Impact of AI in Assistive Technologies for Disabled Persons,Nafath,"Krishnan, Manickam",2024,http://dx.doi.org/10.54455/mcn2505,10.54455/mcn2505,,,,,,
Towards next-generation user interfaces: Chinese perspective of implementing Artificial Intelligence (AI) to support people with disabilities,Nafath,"Tlili, Zhang, Huang",2024,http://dx.doi.org/10.54455/mcn2602,10.54455/mcn2602,,,,,,
Assisting People with Physical Disabilities Through Technology,Encyclopedia of Education and Information Technologies,Mavrou,2019,http://dx.doi.org/10.1007/978-3-319-60013-0_144-1,10.1007/978-3-319-60013-0_144-1,,,,,,
Role of AI in Enhancing Accessibility for People with Disabilities,Journal of Artificial Intelligence General science (JAIGS) ISSN:3006-4023,Khan,0,http://dx.doi.org/10.60087/jaigs.vol03.issue01.p142,10.60087/jaigs.vol03.issue01.p142,,,,,,
Artificial Intelligence and People with Disabilities: a Reflection on Human–AI Partnerships,Humanity Driven AI,White,2022,http://dx.doi.org/10.1007/978-3-030-72188-6_14,10.1007/978-3-030-72188-6_14,,,,,,
Good for tech: Disability expertise and labor in China's artificial intelligence sector,First Monday,Wu,0,http://dx.doi.org/10.5210/fm.v28i1.12887,10.5210/fm.v28i1.12887,,13960466,Physical Sciences,Computer Science,,
Access to Artificial Intelligence for Persons with Disabilities: Legal and Ethical Questions Concerning the Application of Trustworthy AI,Acta Baltica Historiae et Philosophiae Scientiarum,"Unknown, Joamets, Chochia, Unknown",2021,http://dx.doi.org/10.11590/abhps.2021.1.04,10.11590/abhps.2021.1.04,22282009,22282017,Social Sciences,Arts and Humanities,,
AI and disability: A systematic scoping review,Health Informatics Journal,"El Morr, Kundi, Mobeen, Taleghani, El-Lahib, Gorman",2024,http://dx.doi.org/10.1177/14604582241285743,10.1177/14604582241285743,14604582,17412811,Health Sciences,,,
Enhancing Education for Underprivileged Children Through AI-Powered Native Language Learning Inclusive Education Through AI-Powered Native Language Learning,,Mathai,0,http://dx.doi.org/10.2139/ssrn.4899553,10.2139/ssrn.4899553,,,,,,
Exploration on Integrating Accessibility into an AI Course,Proceedings of the 53rd ACM Technical Symposium on Computer Science Education,"Tseng, Jung, Elglaly, Liu, Ludi",2022,http://dx.doi.org/10.1145/3478431.3499399,10.1145/3478431.3499399,,,,,,
Analysis On an AI Based Sustainable Development Goals for People with Disabilities through Advanced Digital Technologies,2022 8th International Conference on Advanced Computing and Communication Systems (ICACCS),"Sajjan, Altaf, Mounagurusamy, Begum",2022,http://dx.doi.org/10.1109/icaccs54159.2022.9785128,10.1109/icaccs54159.2022.9785128,,,,,,
AI-Powered Real-time Accessibility Enhancement: A Solution for Web Content Accessibility Issues,Jurnal Online Informatika,Dash,0,http://dx.doi.org/10.15575/join.v9i1.1310,10.15575/join.v9i1.1310,,,,,,
AI-Powered Real-time Accessibility Enhancement: A Solution for Web Content Accessibility Issues,Jurnal Online Informatika,Dash,0,http://dx.doi.org/10.15575/join.v9i1.1310,10.15575/join.v9i1.1310,,,,,,
AI and accessibility,Communications of the ACM,Morris,2020,http://dx.doi.org/10.1145/3356727,10.1145/3356727,00010782,15577317,Physical Sciences,Computer Science,,
USING COMMON TECHNOLOGIES TO INCREASE ACCESSIBILITY AND INCLUSIVITY IN A FIELD GEOLOGY MAPPING COURSE,Geological Society of America Abstracts with Programs,"Unknown, Miller, Aksit, Cuomo",2023,http://dx.doi.org/10.1130/abs/2023am-391119,10.1130/abs/2023am-391119,,,,,,
Future of Wearable Devices Using IoT Synergy in AI,"2019 3rd International conference on Electronics, Communication and Aerospace Technology (ICECA)","Sharma, Vineeta, Som, Khatri",2019,http://dx.doi.org/10.1109/iceca.2019.8821915,10.1109/iceca.2019.8821915,,,,,,
Toward fairness in AI for people with disabilities SBG@a research roadmap,ACM SIGACCESS Accessibility and Computing,"Guo, Kamar, Vaughan, Wallach, Morris",2020,http://dx.doi.org/10.1145/3386296.3386298,10.1145/3386296.3386298,,,,,,
Distance Education for Students with Learning Disabilities: A Systematic Review,Humanities and Management Sciences - Scientific Journal of King Faisal University,"Alnaim, Alnaim, Alrasheed, Al-Hamdan, Altaysan, ALZuwayyid, Al-Mulhim, Alshammari",0,http://dx.doi.org/10.37575/h/edu/210042,10.37575/h/edu/210042,,,,,,
Basic principles for the development of an AI-based tool for assistive technology decision making,Disability and Rehabilitation: Assistive Technology,"Ran, Banes, Scherer",2022,http://dx.doi.org/10.1080/17483107.2020.1817163,10.1080/17483107.2020.1817163,17483107,17483115,Physical Sciences,Engineering,,
Labour market inclusiveness can improve,OECD Economic Surveys: Lithuania,,2018,http://dx.doi.org/10.1787/eco_surveys-ltu-2018-graph56-en,10.1787/eco_surveys-ltu-2018-graph56-en,,,,,,
AI in Vocational Rehabilitation—Intelligent Assistance for People with Disabilities,Work and AI 2030,"Blanc, Feichtenbeiner, Beudt, Pinkwart",2023,http://dx.doi.org/10.1007/978-3-658-40232-7_41,10.1007/978-3-658-40232-7_41,,,,,,
AI assistive technology for extending sighted guiding,ACM SIGACCESS Accessibility and Computing,Vincenzi,2021,http://dx.doi.org/10.1145/3458055.3458062,10.1145/3458055.3458062,,,,,,
Implementation of AI-Based Assistive Technologies for Learners with Physical Disabilities in Areas of Innovation and Special Schools: A Practical Design Thinking Approach,"African Journal of Science, Technology and Social Sciences","Kirongo, Huka, Bundi, Kitaria, Muchiri",0,http://dx.doi.org/10.58506/ajstss.v1i2.124,10.58506/ajstss.v1i2.124,,,,,,
AI Data-Driven Personalisation and Disability Inclusion,Frontiers in Artificial Intelligence,Wald,0,http://dx.doi.org/10.3389/frai.2020.571955,10.3389/frai.2020.571955,,26248212,Physical Sciences,Computer Science,,
Autism and the making of emotion AI: Disability as resource for surveillance capitalism,New Media &amp; Society,Nagy,2024,http://dx.doi.org/10.1177/14614448221109550,10.1177/14614448221109550,,,,,,
Artificial Intelligence (AI) in Higher Education: Growing Academic Integrity and Ethical Concerns,Nepalese Journal of Development and Rural Studies,"Khatri, Karki",0,http://dx.doi.org/10.3126/njdrs.v20i01.64134,10.3126/njdrs.v20i01.64134,,,,,,
Breaking Barriers—The Intersection of AI and Assistive Technology in Autism Care: A Narrative Review,Journal of Personalized Medicine,"Iannone, Giansanti",0,http://dx.doi.org/10.3390/jpm14010041,10.3390/jpm14010041,,20754426,Health Sciences,,,
Vocational Rehabilitation of Persons with Disabilities,Journal of Vocational Rehabilitation,"Hosack, Malkmus",1992,http://dx.doi.org/10.3233/jvr-1992-2305,10.3233/jvr-1992-2305,10522263,18786316,Health Sciences,,,
CO-DESIGN WITH PERSONS WITH DISABILITIES AS AN INNOVATIVE RESOURCE SET FREE BY AI,"Proceedings of the International Conference on Engineering and Product Design Education, EPDE 2024","Andersson, Eide, Papachristou, Torkildsby, Inal",0,http://dx.doi.org/10.35199/epde.2024.95,10.35199/epde.2024.95,,,,,,
AI Assistance in Language Education: AI-detection Accuracy and Students’ Vocabulary Retention,Journal for Research Scholars and Professionals of English Language Teaching,Zhelyazkov,0,http://dx.doi.org/10.54850/jrspelt.8.44.001,10.54850/jrspelt.8.44.001,,,,,,
AI for Accessibility: Virtual Assistant for Hearing Impaired,"2020 11th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","Ozarkar, Chetwani, Devare, Haryani, Giri",2020,http://dx.doi.org/10.1109/icccnt49239.2020.9225392,10.1109/icccnt49239.2020.9225392,,,,,,
Facilitating the Implementation of AI-Based Assistive Technologies for Persons with Disabilities in Vocational Rehabilitation: A Practical Design Thinking Approach,Lecture Notes in Computer Science,"Kähler, Feichtenbeiner, Beudt",2021,http://dx.doi.org/10.1007/978-3-030-78270-2_40,10.1007/978-3-030-78270-2_40,,,,,,
Definition drives design: Disability models and mechanisms of bias in AI technologies,First Monday,"Newman-Griffis, Rauchberg, Alharbi, Hickman, Hochheiser",0,http://dx.doi.org/10.5210/fm.v28i1.12903,10.5210/fm.v28i1.12903,,13960466,Physical Sciences,Computer Science,,
Exploring the Intersection of AI and Inclusive Design for People with Disabilities,Studies in Health Technology and Informatics,"El Morr, Singh, Sawhney, Fernandes, El-Lahib, Gorman",2024,http://dx.doi.org/10.3233/shti240475,10.3233/shti240475,09269630,,Physical Sciences,Engineering,,
Designing Accessible Chatbots for Deaf People,2022 11th Mediterranean Conference on Embedded Computing (MECO),"Apuzzo, Burresi",2022,http://dx.doi.org/10.1109/meco55406.2022.9797093,10.1109/meco55406.2022.9797093,,,,,,
ChatGPT and assistive AI in structured radiology reporting: A systematic review,Current Problems in Diagnostic Radiology,"Sacoransky, Kwan, Soboleski",2024,http://dx.doi.org/10.1067/j.cpradiol.2024.07.007,10.1067/j.cpradiol.2024.07.007,03630188,15356302,Health Sciences,,,
